name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Colten Brewer, Last 15 Games, 0, 3, 5.61, 11, 4, 0, 25.2, 31, 16, 14, 25, 1.75
Colten Brewer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Austin Brice, Last 7 Games, 0, 0, 5.40, 7, 0, 0, 5.0, 7, 3, 5, 4, 2.40
Austin Brice, Last 15 Games, 1, 0, 6.23, 15, 0, 0, 13.0, 12, 9, 9, 15, 1.62
Austin Brice, Last 30 Games, 1, 0, 6.27, 20, 1, 0, 18.2, 17, 13, 12, 23, 1.55
Jeff Brigham, Last 7 Games, 0, 0, 9.00, 1, 0, 0, 1.0, 2, 1, 0, 0, 2.00
Jeff Brigham, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jeff Brigham, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zack Britton, Last 7 Games, 0, 1, 4.05, 7, 0, 1, 6.2, 8, 3, 4, 7, 1.80
Zack Britton, Last 15 Games, 0, 2, 2.57, 15, 0, 8, 14.0, 11, 4, 7, 12, 1.29
Zack Britton, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Connor Brogdon, Last 7 Games, 0, 0, 16.88, 3, 0, 0, 2.2, 4, 5, 3, 3, 2.63
Connor Brogdon, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Connor Brogdon, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rex Brothers, Last 7 Games, 0, 0, 11.57, 2, 0, 0, 2.1, 2, 3, 3, 5, 2.14
Rex Brothers, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Rex Brothers, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
JT Brubaker, Last 7 Games, 1, 1, 5.72, 7, 6, 0, 28.1, 29, 18, 13, 28, 1.48
JT Brubaker, Last 15 Games, 1, 1, 5.34, 8, 6, 0, 30.1, 32, 18, 13, 32, 1.48
JT Brubaker, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kris Bubic, Last 7 Games, 0, 5, 4.89, 7, 7, 0, 35.0, 37, 19, 13, 31, 1.43
Kris Bubic, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kris Bubic, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Ryan Buchter, Last 7 Games, 1, 0, 6.23, 7, 0, 0, 4.1, 4, 3, 4, 6, 1.85
Ryan Buchter, Last 15 Games, 2, 0, 4.50, 10, 0, 0, 6.0, 5, 3, 6, 8, 1.83
Ryan Buchter, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Walker Buehler, Last 7 Games, 1, 0, 3.86, 7, 7, 0, 32.2, 23, 14, 10, 36, 1.01
Walker Buehler, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Walker Buehler, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Madison Bumgarner, Last 7 Games, 0, 4, 8.44, 5, 5, 0, 21.1, 23, 20, 9, 15, 1.50
Madison Bumgarner, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Madison Bumgarner, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Aaron Bummer, Last 7 Games, 1, 0, 1.23, 7, 0, 0, 7.1, 4, 1, 4, 12, 1.09
Aaron Bummer, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Aaron Bummer, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nick Burdi, Last 7 Games, 0, 1, 3.86, 3, 0, 1, 2.1, 2, 1, 2, 4, 1.71
Nick Burdi, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Nick Burdi, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Zack Burdi, Last 7 Games, 0, 1, 12.79, 7, 0, 0, 6.1, 10, 9, 3, 9, 2.05
Zack Burdi, Last 15 Games, 0, 1, 11.05, 8, 0, 0, 7.1, 11, 9, 3, 11, 1.91
Zack Burdi, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Corbin Burnes, Last 7 Games, 3, 0, 1.64, 7, 5, 0, 38.1, 17, 7, 14, 53, 0.81
Corbin Burnes, Last 15 Games, 3, 0, 1.99, 9, 6, 0, 45.1, 22, 10, 19, 64, 0.90
